Player,Position,a,a_g,bks,eng,es_toi,es_toi_g,esa,esfol,esfow,esg,esp,first_g,fo_perc,fo_total,fol,fow,g,g_g,g_misc,gp,gva,gwg,hits,major,match_pen,minor,misc,mss,otg,p,p_g,pim,plus_minus,pp_toi,pp_toi_g,ppa,ppfol,ppfow,ppg,ppp,ps,s_g,sft_g,sh_toi,sh_toi_g,sha,shfol,shfow,shg,shifts,shot_perc,shots,shp,tka,toi,toi_g,toi_s,total_so_g,total_so_gdg,total_so_s,gs,w,l,ot,sa,ga,gaa,sv,sv_perc,so,dp,stp,bg1,bg2,bg3,daw,esasha,esgshg,gwgshog,gwgshogdg,sta,stg,stg2,stp2,hb,netfow,shg2sha,stpgwg,tkagva,hat,hatshp,fight,ghht,ota,otp,bap,1s,2s,3s,fp,g_toi
"Aaron Dell",G,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1050.52,52.526,0,0,0,0,17,11,6,1,533,37,2.11,496,0.931,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,1,0,3,3,2,0,1050.52
"Aaron Ekblad",D,11,0.162,62,0,1178,17.324,7,0,0,5,12,2,0,0,0,0,10,0.147,0,68,58,2,88,0,0,29,0,71,1,21,0.309,58,-23,161,2.368,4,0,0,4,8,0,3.309,23.794,35,0.515,0,0,0,1,1618,0.044,225,1,25,1433.21,21.073,0.89,0,0,0,0,0,0,0,0,0,0,0,0,0,21,9,7,7,13,127,7,6,2,2,4,5,6,10,150,0,2,11,0.4310,0,1,0,0,0,1,0,1,2,1,0,0
"Aaron Ness",D,0,0,2,0,25,12.5,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,2,0,0,0,0,1,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,16.5,0,0,0,0,0,0,33,0,0,0,0,15.05,7.5,0.46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,4,0,0,0,0.0000,0,0,0,0,0,0,0,0,0,0,0,0
"Adam Clendening",D,9,0.29,27,0,428,13.806,8,0,0,1,9,0,0,0,0,0,2,0.065,0,31,20,0,22,1,0,6,0,19,0,11,0.355,17,3,34,1.097,1,0,0,1,2,0,1.226,21.226,0,0,0,0,0,0,658,0.053,38,0,7,472.79,15.243,0.72,0,0,0,0,0,0,0,0,0,0,0,0,0,11,2,1,1,2,52,8,1,0,0,1,1,1,2,49,0,0,2,0.3500,0,0,1,0,0,0,0,0,1,0,0,0
"Adam Cracknell",RW,6,0.087,37,0,641,9.29,6,0,0,9,15,2,0.458,295,160,135,10,0.145,0,69,16,2,91,0,0,5,0,40,0,16,0.232,12,9,3,0.043,0,0,0,0,0,0,1.261,15.812,18,0.261,0,0,0,1,1091,0.115,87,1,19,711.77,10.303,0.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,3,12,137,6,10,2,2,0,1,2,2,128,-25,2,3,1.1875,1,2,0,0,0,0,0,1,1,2,16,0
"Adam Erne",LW,0,0,13,0,268,10.308,0,0,0,3,3,2,0,2,2,0,3,0.115,0,26,5,0,71,1,0,3,0,18,0,3,0.115,11,-9,19,0.731,0,0,0,0,0,0,1.538,16.962,0,0,0,0,0,0,441,0.075,40,0,2,294.94,11.343,0.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,75,0,3,0,0,0,0,0,0,84,-2,0,0,0.4000,0,0,1,0,0,0,0,0,0,1,3,0
"Adam Henrique",C,20,0.244,68,0,1060,12.927,15,0,0,12,27,4,0.482,1214,629,585,20,0.244,0,82,28,2,88,0,0,14,1,48,1,40,0.488,38,-20,167,2.037,4,0,0,6,10,0,1.732,23.512,146,1.78,1,0,0,2,1928,0.141,142,3,45,1469.24,17.913,0.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,10,10,23,136,16,14,2,2,5,8,10,16,156,-44,5,15,1.6071,0,3,0,0,0,2,0,1,6,5,40,0
"Adam Larsson",D,15,0.185,163,0,1451,17.914,15,0,0,4,19,0,0,0,0,0,4,0.049,0,81,74,0,267,1,0,25,0,41,0,19,0.235,57,22,4,0.049,0,0,0,0,0,0,1.074,26.123,100,1.235,0,0,0,0,2116,0.046,87,0,28,1613.62,19.921,0.76,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,4,452,15,4,0,0,0,0,0,0,430,0,0,0,0.3784,0,0,1,0,0,0,0,0,1,1,0,0
"Adam Lowry",C,14,0.171,56,1,951,11.598,9,0,0,10,19,0,0.508,1295,637,658,15,0.183,0,82,24,1,217,2,0,16,1,42,0,29,0.354,52,1,116,1.415,4,0,0,5,9,0,1.488,23.598,143,1.744,1,0,0,0,1935,0.123,122,1,29,1297.49,15.811,0.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,6,6,16,274,10,10,1,1,5,5,5,11,273,21,1,11,1.2083,0,1,2,0,0,0,0,1,3,3,29,0
"Adam McQuaid",D,9,0.114,147,0,1198,15.165,8,0,0,2,10,1,0,0,0,0,2,0.025,0,79,24,1,159,5,0,17,1,30,0,11,0.139,71,4,2,0.025,0,0,0,0,0,0,0.835,24.949,145,1.835,1,0,0,0,1971,0.03,66,1,10,1412.58,17.871,0.72,0,0,0,0,0,0,0,0,0,0,0,0,0,11,1,1,1,3,310,9,2,1,1,1,0,0,2,306,0,1,2,0.4167,0,1,5,0,0,0,0,0,0,0,0,0
"Adam Pardy",D,0,0,3,0,42,10.5,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,3,0,0,3,0,1,0,0,0,6,-1,0,0,0,0,0,0,0,0,1,16,0,0,0,0,0,0,64,0,4,0,1,32.73,8.138,0.51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,6,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0
"Adam Pelech",D,7,0.159,68,0,675,15.341,7,0,0,3,10,2,0,0,0,0,3,0.068,0,44,28,0,73,0,0,3,0,17,0,10,0.227,6,-5,0,0,0,0,0,0,0,0,0.909,19.727,30,0.682,0,0,0,0,868,0.075,40,0,17,723.59,16.435,0.83,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,3,136,7,3,0,0,0,0,0,0,141,0,0,0,0.6071,0,0,0,0,0,0,0,0,0,0,0,0
"Adrian Kempe",LW,4,0.16,7,0,261,10.44,1,0,0,2,3,0,0.438,153,86,67,2,0.08,0,25,10,1,23,0,0,3,0,12,0,6,0.24,6,-3,14,0.56,2,0,0,0,2,0,1.28,17.32,8,0.32,1,0,0,0,433,0.063,32,1,5,290.47,11.581,0.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,1,3,27,2,2,1,1,3,0,0,4,30,-19,1,4,0.5000,0,1,0,0,0,0,0,0,1,1,6,0
"AJ Greer",LW,1,0.2,3,0,60,12,1,0,0,0,1,0,0,0,0,0,0,0,0,5,2,0,4,0,0,2,0,2,0,1,0.2,4,-2,2,0.4,0,0,0,0,0,0,1.6,20.4,1,0.2,0,0,0,0,102,0,8,0,1,51.71,10.172,0.51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0,0,0,0,7,0,0,0,0.5000,0,0,0,0,0,0,0,0,0,0,1,0
"Al Montoya",G,2,0.105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1064.9,56.038,0,0,0,0,18,8,6,4,569,50,2.82,519,0.912,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,2,5,0,1,2,2,0,1064.9
"Alan Quine",C,13,0.213,29,0,644,10.557,12,0,0,3,15,1,0.48,550,286,264,5,0.082,0,61,18,1,77,0,0,4,0,17,0,18,0.295,8,-2,43,0.705,1,0,0,2,3,0,1.344,17.393,11,0.18,0,0,0,0,1061,0.061,82,0,17,755.14,12.371,0.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,6,104,12,3,1,1,1,2,2,3,106,-22,0,4,0.9444,0,0,0,0,0,0,0,0,2,0,18,0
"Alec Martinez",D,30,0.366,167,0,1370,16.707,17,0,0,6,23,1,0,1,1,0,9,0.11,0,82,51,3,137,0,0,12,0,80,2,39,0.476,24,-17,140,1.707,13,0,0,2,15,0,1.756,29.646,146,1.78,0,0,0,1,2431,0.063,144,1,5,1753.31,21.379,0.72,0,0,0,0,0,0,0,0,0,0,0,0,0,39,16,6,6,14,287,17,7,3,3,13,3,4,17,304,-1,2,19,0.0980,0,1,0,0,1,5,0,5,4,2,0,0
"Aleksander Barkov",C,31,0.508,30,0,898,14.721,20,0,0,18,38,6,0.465,1023,547,476,21,0.344,0,61,30,5,39,0,0,5,0,47,2,52,0.852,10,13,146,2.393,11,0,0,3,14,0,2.328,24.082,50,0.82,0,0,0,0,1469,0.148,142,0,49,1162.38,19.041,0.79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,8,8,28,82,20,18,5,5,11,3,3,14,69,-71,0,19,1.6333,0,0,0,0,0,10,0,5,3,4,52,0
"Ales Hemsky",RW,3,0.2,4,0,186,12.4,2,0,0,3,5,1,0,0,0,0,4,0.267,0,15,6,0,1,0,0,0,0,11,0,7,0.467,0,-1,16,1.067,1,0,0,1,2,0,2,22.267,1,0.067,0,0,0,0,334,0.133,30,0,9,200.78,13.357,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,4,4,2,3,0,0,1,1,1,2,5,0,0,2,1.5000,0,0,0,0,0,0,0,0,1,1,7,0
"Alex Biega",D,3,0.083,24,0,429,11.917,3,0,0,0,3,0,0,0,0,0,0,0,0,36,7,0,97,0,0,9,0,22,0,3,0.083,18,-4,4,0.111,0,0,0,0,0,0,1.028,19.472,12,0.333,0,0,0,0,701,0,37,0,5,465.47,12.919,0.66,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,117,3,0,0,0,0,0,0,0,121,0,0,0,0.7143,0,0,0,0,0,0,0,0,0,0,0,0
"Alex Burrows",LW,16,0.208,36,3,942,12.234,15,0,0,14,29,2,0.357,14,9,5,15,0.195,0,77,21,2,73,2,0,17,2,40,0,31,0.403,64,3,37,0.481,0,0,0,1,1,0,1.896,21.091,58,0.753,1,0,0,0,1624,0.103,146,1,35,1112.86,14.451,0.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,3,17,112,16,14,2,2,1,1,1,3,109,-4,1,4,1.6667,0,1,2,0,0,0,0,3,0,1,31,0
"Alex Chiasson",RW,12,0.145,20,0,940,11.325,10,0,0,11,21,3,0.241,29,22,7,12,0.145,1,83,22,1,78,2,0,13,0,27,0,24,0.289,46,-5,36,0.434,2,0,0,0,2,0,1.265,18.566,45,0.542,0,0,0,1,1541,0.114,105,1,32,1100.16,13.255,0.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,2,13,93,10,12,1,1,2,1,2,4,98,-15,2,4,1.4545,0,1,1,1,0,0,0,0,1,2,24,0
"Alex Galchenyuk",C,28,0.444,33,1,823,13.063,19,0,0,11,30,3,0.425,647,372,275,17,0.27,0,63,37,6,36,0,0,12,0,52,5,45,0.714,26,-4,118,1.873,9,0,0,6,15,0,1.794,20.937,0,0,0,0,0,0,1319,0.15,113,0,19,990.02,15.712,0.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,12,12,28,65,19,11,6,6,9,6,6,15,69,-97,0,21,0.5135,0,0,0,0,0,6,0,6,1,2,45,0
"Alex Goligoski",D,30,0.366,143,0,1489,18.159,22,0,0,4,26,1,0,0,0,0,6,0.073,0,82,57,0,137,0,0,14,0,44,0,36,0.439,28,-9,142,1.732,7,0,0,1,8,0,1.366,28.732,162,1.976,1,0,0,1,2356,0.054,112,2,15,1888.02,23.014,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0,36,10,2,2,6,271,23,5,0,0,8,2,3,12,280,0,3,10,0.2632,0,2,0,0,1,2,0,0,0,1,0,0
"Alex Nedeljkovic",G,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,0,0,0,0,0,0,0,17,0,0,17,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0
"Alex Ovechkin",LW,36,0.429,31,0,1194,14.214,27,0,0,16,43,7,0,1,1,0,34,0.405,0,84,47,7,226,0,0,26,0,146,2,70,0.833,52,6,276,3.286,9,0,0,18,27,0,3.845,21.393,1,0.012,0,0,0,0,1797,0.105,323,0,30,1527.97,18.183,0.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,25,25,43,263,27,16,7,7,9,18,18,27,257,-1,0,34,0.6383,2,2,0,0,1,3,0,8,6,3,70,0
"Alex Petrovic",D,13,0.265,55,0,793,16.184,13,0,0,1,14,0,0,0,0,0,1,0.02,1,49,27,0,106,3,0,22,1,28,0,14,0.286,79,-1,2,0.041,0,0,0,0,0,0,1.122,21.531,45,0.918,0,0,0,0,1055,0.018,55,0,16,877.27,17.893,0.83,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,1,160,13,1,0,0,0,0,0,0,161,0,0,0,0.5926,0,0,3,0,0,0,0,0,0,0,0,0
"Alex Pietrangelo",D,35,0.427,163,1,1594,19.439,22,0,0,8,30,2,0,1,1,0,14,0.171,0,82,27,4,38,0,0,13,0,61,0,49,0.598,26,5,171,2.085,13,0,0,6,19,0,2.293,31.073,202,2.463,0,0,0,0,2548,0.074,188,0,54,2058.27,25.092,0.81,0,0,0,0,0,0,0,0,0,0,0,0,0,49,19,10,10,18,206,22,8,4,4,13,6,6,19,201,-1,0,23,2.0000,0,0,0,0,0,0,0,1,4,4,0,0
"Alex Stalock",G,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58.92,29,0,0,0,0,2,1,1,0,54,3,3.05,51,0.944,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,1,0,58.92
"Alex Tuch",RW,0,0,7,0,61,10.167,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,5,0,0,0,0,2,0,0,0,0,-3,0,0,0,0,0,0,0,0,1.333,14.333,0,0,0,0,0,0,86,0,8,0,2,49.57,8.17,0.58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,12,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0
"Alexander Burmistrov",C,11,0.224,19,0,534,10.898,9,0,0,1,10,1,0.407,437,259,178,5,0.102,0,49,14,0,60,0,0,6,0,19,0,16,0.327,12,-7,43,0.878,1,0,0,4,5,0,0.918,17.02,26,0.531,1,0,0,0,834,0.111,45,1,12,640,13.043,0.77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,4,4,5,72,10,1,0,0,2,4,4,7,79,-81,1,6,0.8571,0,1,0,0,0,2,0,0,2,0,16,0
"Alexander Edler",D,15,0.221,138,0,1304,19.176,13,0,0,4,17,2,0.667,3,1,2,6,0.088,0,68,37,0,106,0,0,18,0,56,0,21,0.309,36,-20,106,1.559,2,0,0,2,4,0,2.029,28.397,146,2.147,0,0,0,0,1931,0.043,138,0,17,1626.97,23.913,0.84,0,0,0,0,0,0,0,0,0,0,0,0,0,21,4,2,2,6,224,13,4,0,0,2,2,2,4,244,1,0,4,0.4595,0,0,0,0,0,0,0,0,1,0,0,0
"Alexander Killorn",LW,17,0.21,25,1,1104,13.63,10,0,0,14,24,2,0.333,12,8,4,19,0.235,0,81,43,4,99,2,0,28,0,66,0,36,0.444,66,-9,155,1.914,6,0,0,4,10,0,2.173,22.63,90,1.111,1,0,0,1,1833,0.108,176,2,33,1437.91,17.749,0.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,9,9,23,115,11,15,4,4,7,5,6,14,124,-4,3,16,0.7674,0,2,2,0,0,0,0,2,4,2,36,0
"Alexander Nylander",RW,1,0.25,2,0,45,11.25,1,0,0,0,1,0,0,2,2,0,0,0,0,4,3,0,1,0,0,0,0,1,0,1,0.25,0,-2,2,0.5,0,0,0,0,0,0,1,15.5,0,0,0,0,0,0,62,0,4,0,3,34.86,8.61,0.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,3,-2,0,0,1.0000,0,0,0,0,0,0,0,0,0,0,1,0
"Alexander Radulov",RW,38,0.487,41,3,1164,14.923,28,0,0,13,41,2,0.538,13,6,7,19,0.244,0,78,53,3,86,0,0,31,0,67,2,57,0.731,66,11,193,2.474,10,0,0,6,16,0,1.974,22.808,1,0.013,0,0,0,0,1779,0.123,154,0,43,1415.31,18.141,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,9,9,24,138,28,13,3,3,10,6,6,16,127,1,0,19,0.8113,0,0,0,0,1,9,0,5,3,3,57,0
"Alexander Steen",LW,36,0.462,71,4,1094,14.026,23,0,0,13,36,2,0.39,259,158,101,16,0.205,0,78,18,2,35,1,0,20,1,61,0,52,0.667,55,-2,197,2.526,13,0,0,3,16,0,1.513,26.936,107,1.372,0,0,0,0,2101,0.136,118,0,29,1487.88,19.072,0.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,5,5,18,104,23,13,2,2,13,3,3,16,106,-57,0,18,1.6111,0,0,1,0,0,3,0,1,3,2,52,0
"Alexander Wennberg",C,47,0.573,56,0,1205,14.695,26,0,0,11,37,4,0.472,1326,700,626,13,0.159,0,82,31,5,62,1,0,8,0,31,0,60,0.732,21,8,182,2.22,21,0,0,2,23,0,1.39,23.671,23,0.28,0,0,0,0,1941,0.114,114,0,45,1493.01,18.206,0.77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,7,7,18,126,26,11,5,5,21,2,2,23,118,-74,0,28,1.4516,0,0,1,0,1,2,0,3,3,3,60,0
"Alexandre Carrier",D,0,0,1,0,19,9.5,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.5,16.5,0,0,0,0,0,0,33,0,1,0,0,9.97,4.5,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0
"Alexandre Grenier",RW,0,0,0,0,19,6.333,0,0,0,0,0,0,0,2,0,2,0,0,0,3,0,0,3,0,0,0,0,1,0,0,0,0,-1,0,0,0,0,0,0,0,0,0.333,9.667,0,0,0,0,0,0,29,0,1,0,0,11.28,3.667,0.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,3,2,0,0,,0,0,0,0,0,0,0,0,0,0,0,0
"Alexei Emelin",D,8,0.105,127,0,1379,18.145,8,0,0,2,10,1,0,0,0,0,2,0.026,0,76,84,0,241,1,0,32,0,45,0,10,0.132,71,1,1,0.013,0,0,0,0,0,0,1.079,26.053,162,2.132,0,0,0,0,1980,0.024,82,0,16,1599.29,21.035,0.81,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,2,369,8,2,0,0,0,0,0,0,368,0,0,0,0.1905,0,0,0,0,0,0,0,0,0,0,0,0
"Alexey Marchenko",D,7,0.171,59,0,602,14.683,6,0,0,1,7,1,0,0,0,0,1,0.024,0,41,22,0,22,0,0,6,0,23,0,8,0.195,12,7,1,0.024,0,0,0,0,0,0,0.878,23.512,57,1.39,1,0,0,0,964,0.028,36,1,5,673.45,16.42,0.7,0,0,0,0,0,0,0,0,0,0,0,0,0,8,1,0,0,1,88,7,1,0,0,1,0,0,2,81,0,1,1,0.2273,0,1,0,0,0,0,0,0,0,0,0,0
"Anders Lee",LW,18,0.222,34,1,1022,12.617,13,0,0,25,38,4,0.389,18,11,7,34,0.42,0,81,26,6,172,2,0,23,0,60,0,52,0.642,56,9,160,1.975,5,0,0,9,14,0,2.358,20.358,1,0.012,0,0,0,0,1649,0.178,191,0,22,1249.42,15.419,0.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,15,15,40,215,13,25,6,6,5,9,9,14,206,-4,0,20,0.8462,0,0,2,0,0,0,0,5,3,4,52,0
"Anders Nilsson",G,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1419.51,54.597,0,0,0,0,23,10,10,4,857,66,2.79,791,0.923,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,1,8,0,4,1,1,0,1419.51
"Andre Burakovsky",LW,24,0.364,25,0,753,11.409,20,0,0,10,30,6,0.333,9,6,3,12,0.182,0,66,34,1,36,0,0,7,0,34,0,36,0.545,14,12,68,1.03,4,0,0,2,6,0,1.758,16.621,0,0,0,0,0,0,1097,0.103,116,0,35,862.09,13.052,0.79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,3,3,13,73,20,10,1,1,4,2,2,6,61,-3,0,7,1.0294,0,0,0,0,0,0,0,3,1,2,36,0
"Andreas Athanasiou",C,11,0.172,21,0,719,11.234,8,0,0,17,25,1,0.446,83,46,37,18,0.281,0,64,19,3,30,2,0,8,0,61,2,29,0.453,28,-7,55,0.859,3,0,0,1,4,0,1.875,18.813,20,0.313,0,0,0,0,1204,0.15,120,0,17,846.72,13.216,0.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,4,23,44,8,17,3,3,3,1,1,4,51,-9,0,7,0.8947,0,0,2,0,0,3,0,4,2,2,29,0
"Andreas Englund",D,0,0,0,0,49,9.8,0,0,0,0,0,0,0,0,0,0,0,0,0,5,2,0,18,0,0,1,0,3,0,0,0,2,-3,0,0,0,0,0,0,0,0,0.6,17,0,0,0,0,0,0,85,0,3,0,0,43.33,8.6,0.51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,18,0,0,0,0.0000,0,0,0,0,0,0,0,0,0,0,0,0
"Andreas Martinsen",LW,4,0.061,30,0,564,8.545,3,0,0,3,6,0,0.75,4,1,3,3,0.045,0,66,13,0,182,2,0,11,0,32,0,7,0.106,32,-15,2,0.03,0,0,0,0,0,0,1.152,14.864,34,0.515,1,0,0,0,981,0.039,76,1,25,643.05,9.743,0.66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,197,4,3,0,0,1,0,0,2,212,2,1,1,1.9231,0,1,2,0,0,0,0,0,0,0,7,0
"Andrei Markov",D,30,0.469,77,0,1093,17.078,18,0,0,5,23,2,0,0,0,0,6,0.094,0,64,71,1,39,0,0,8,1,43,0,36,0.563,26,19,139,2.172,11,0,0,1,12,0,1.578,26.828,85,1.328,1,0,0,0,1717,0.059,101,1,30,1388.08,21.678,0.81,0,0,0,0,0,0,0,0,0,0,0,0,0,36,13,2,2,7,135,19,5,1,1,12,1,1,14,116,0,1,14,0.4225,0,1,0,0,1,1,0,1,2,3,0,0
"Andrei Vasilevskiy",G,2,0.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2771.82,55.436,0,0,0,0,47,23,17,7,1480,123,2.66,1357,0.917,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,6,9,0,4,8,2,0,2771.82
"Andrej Nestrasil",C,4,0.211,6,0,187,9.842,4,0,0,1,4,0,0.3,10,7,3,1,0.053,0,19,8,0,10,0,0,1,0,6,0,5,0.263,2,-3,7,0.368,0,0,0,0,0,0,1.421,15.263,0,0,0,0,0,0,290,0.037,27,0,11,195.43,10.241,0.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,13,4,1,0,0,0,0,0,0,16,-4,0,0,1.3750,0,0,0,0,0,0,0,0,0,1,5,0
"Andrej Sekera",D,27,0.329,167,0,1365,16.646,17,0,0,6,23,0,0,0,0,0,8,0.098,0,82,102,1,56,0,0,9,0,66,0,35,0.427,18,14,143,1.744,10,0,0,1,11,0,1.598,27.073,136,1.659,0,0,0,1,2220,0.061,131,1,39,1743.43,21.252,0.79,0,0,0,0,0,0,0,0,0,0,0,0,0,35,12,3,3,9,237,17,7,1,1,10,2,3,13,223,0,2,13,0.3824,0,1,0,0,1,2,0,2,0,1,0,0
"Andrej Sustr",D,11,0.138,102,0,1192,14.9,11,0,0,3,14,0,0,1,1,0,3,0.038,0,80,49,1,45,1,0,19,0,26,0,14,0.175,43,-10,3,0.038,0,0,0,0,0,0,1.163,22.663,127,1.588,0,0,0,0,1813,0.032,93,0,18,1389.26,17.356,0.77,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,1,1,4,137,11,3,1,1,0,0,0,0,147,-1,0,1,0.3673,0,0,1,0,0,0,0,1,0,0,0,0
"Andrew Cogliano",LW,19,0.226,29,2,1076,12.81,18,0,0,13,31,5,0.474,19,10,9,16,0.19,0,84,26,2,80,0,0,13,0,54,0,35,0.417,26,11,1,0.012,0,0,0,0,0,0,2.179,22.929,108,1.286,0,0,0,3,1926,0.087,183,3,19,1254.85,14.938,0.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,5,18,120,18,16,2,2,0,3,6,6,109,-1,6,5,0.7308,0,3,0,0,0,0,0,0,3,2,35,0
"Andrew Copp",C,8,0.125,28,0,654,10.219,8,0,0,8,16,4,0.495,192,97,95,9,0.141,0,64,16,1,87,0,0,9,0,26,0,17,0.266,18,8,3,0.047,0,0,0,0,0,0,1.203,18.719,64,1,0,0,0,1,1198,0.117,77,1,20,781.53,12.196,0.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,10,123,8,9,1,1,0,1,2,2,115,-2,2,2,1.2500,0,1,0,0,0,0,0,2,1,0,17,0
"Andrew Desjardins",LW,1,0.022,17,0,381,8.283,1,0,0,0,1,0,0.565,69,30,39,0,0,0,46,10,0,73,2,0,6,0,13,0,1,0.022,22,-6,0,0,0,0,0,0,0,0,1,13.196,22,0.478,0,0,0,0,607,0,46,0,9,422,9.166,0.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84,1,0,0,0,0,0,0,0,90,9,0,0,0.9000,0,0,2,0,0,0,0,0,0,0,1,0
"Andrew Hammond",G,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,145.65,24.112,0,0,0,0,4,0,2,0,86,14,5.77,72,0.837,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,145.65
