Player,Position,a,a_g,bks,eng,es_toi,es_toi_g,esa,esfol,esfow,esg,esp,first_g,fo_perc,fo_total,fol,fow,g,g_g,g_misc,gp,gva,gwg,hits,major,match_pen,minor,misc,mss,otg,p,p_g,pim,plus_minus,pp_toi,pp_toi_g,ppa,ppfol,ppfow,ppg,ppp,ps,s_g,sft_g,sh_toi,sh_toi_g,sha,shfol,shfow,shg,shifts,shot_perc,shots,shp,tka,toi,toi_g,toi_s,total_so_g,total_so_gdg,total_so_s,gs,w,l,ot,sa,ga,gaa,sv,sv_perc,so,dp,stp,bg1,bg2,bg3,daw,esasha,esgshg,gwgshog,gwgshogdg,sta,stg,stg2,stp2,hb,netfow,shg2sha,stpgwg,tkagva,hat,hatshp,fight,ghht,ota,otp,bap,1s,2s,3s,fp,g_toi
"Mathieu Perreault",C,32,0.492,26,0,849,13.062,20,0,0,10,30,2,0.513,189,92,97,13,0.2,0,65,20,3,97,0,0,15,0,50,0,45,0.692,30,-11,146,2.246,12,0,0,3,15,0,2.062,20.862,0,0,0,0,0,0,1356,0.097,134,0,33,1040.81,16.006,0.77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,6,6,16,112,20,10,3,3,12,3,3,15,123,5,0,18,1.6500,0,0,0,0,0,1,0,2,1,3,45,0
"Mats Zuccarello",RW,44,0.537,54,2,1243,15.159,35,0,0,11,46,4,0.462,13,7,6,16,0.195,0,82,56,3,92,0,0,17,0,65,0,60,0.732,34,15,189,2.305,9,0,0,5,14,0,2.366,24.122,16,0.195,0,0,0,0,1978,0.082,194,0,71,1532.27,18.68,0.77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,8,8,19,161,35,11,3,3,9,5,5,14,146,-1,0,17,1.2679,0,0,0,0,0,5,0,1,2,3,60,0
"Matt Bartkowski",D,1,0.038,17,0,369,14.192,1,0,0,1,2,0,0,0,0,0,1,0.038,1,26,14,0,54,2,0,3,0,13,0,2,0.077,26,-5,0,0,0,0,0,0,0,0,0.731,21.538,3,0.115,0,0,0,0,560,0.053,19,0,4,384.59,14.783,0.69,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,66,1,1,0,0,0,0,0,0,71,0,0,0,0.2857,0,0,2,0,0,0,0,0,0,0,0,0
"Matt Beleskey",LW,5,0.098,19,0,547,10.725,3,0,0,3,6,1,0.414,70,41,29,3,0.059,0,51,12,0,102,3,0,18,0,34,0,8,0.157,51,-12,56,1.098,2,0,0,0,2,0,1.608,17.745,13,0.255,0,0,0,0,905,0.037,82,0,7,651.37,12.77,0.72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,3,109,3,3,0,0,2,0,0,2,121,-12,0,2,0.5833,0,0,3,0,0,0,0,0,0,3,8,0
"Matt Calvert",LW,5,0.075,35,2,741,11.06,4,0,0,8,12,0,0.125,16,14,2,11,0.164,1,67,15,1,71,2,0,16,0,34,0,16,0.239,52,-3,3,0.045,0,0,0,0,0,0,1.403,18.896,85,1.269,1,0,0,3,1266,0.117,94,4,23,877.55,13.098,0.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,4,12,103,5,11,1,1,1,3,6,8,106,-12,7,5,1.5333,0,4,2,0,0,0,0,2,0,0,16,0
"Matt Cullen",C,19,0.257,28,1,791,10.689,17,0,0,9,26,1,0.516,882,427,455,13,0.176,0,74,34,2,37,0,0,14,0,33,0,32,0.432,30,5,15,0.203,2,0,0,2,4,0,1.297,21.176,135,1.824,0,0,0,2,1567,0.135,96,2,20,1009.12,13.627,0.64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,6,15,70,17,11,2,2,2,4,6,8,65,28,4,8,0.5882,0,2,0,0,0,0,0,0,1,1,32,0
"Matt Duchene",C,23,0.299,41,0,1102,14.312,17,0,0,14,31,2,0.626,1098,411,687,18,0.234,0,77,46,3,42,0,0,6,0,67,1,41,0.532,12,-34,160,2.078,6,0,0,3,9,0,2.078,23.338,45,0.584,0,0,0,1,1797,0.113,160,1,60,1393.14,18.092,0.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,7,7,22,49,17,15,3,3,6,4,5,11,83,276,2,13,1.3043,0,1,0,0,0,4,0,4,4,3,41,0
"Matt Dumba",D,23,0.295,75,0,1330,17.051,16,0,0,5,21,2,0,0,0,0,11,0.141,1,78,45,1,104,1,0,22,0,51,1,34,0.436,59,16,146,1.872,6,0,0,6,12,0,1.731,24.577,27,0.346,1,0,0,0,1917,0.081,135,1,19,1578.13,20.231,0.82,0,0,0,0,0,0,0,0,0,0,0,0,0,34,13,7,7,13,195,17,5,1,1,7,6,6,14,179,0,1,14,0.4222,0,1,1,0,1,2,0,1,0,0,0,0
"Matt Greene",D,1,0.038,27,0,298,11.462,1,0,0,1,2,0,0,0,0,0,1,0.038,0,26,17,0,71,1,0,7,0,10,0,2,0.077,19,3,0,0,0,0,0,0,0,0,0.538,20.654,21,0.808,0,0,0,0,537,0.071,14,0,3,329.51,12.665,0.61,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,101,1,1,0,0,0,0,0,0,98,0,0,0,0.1765,0,0,1,0,0,0,0,0,0,0,0,0
"Matt Grzelcyk",D,0,0,1,0,21,10.5,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,1,0,0,0,2,0,3,1.5,0,0,0,0,0,0,2,22,0,0,0,0,0,0,44,0,4,0,0,10.4,5,0.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0
